Local Authority,Ward,Name of Candidate,Sex,Party,Result
"",Chitungwiza Municipality,6,Ndebele Siphatisiwe,F,MDC,1
"",,,,,,
"",Chitungwiza Municipality,7,Mlambo Charamba,M,ZANU-PF,69
"",Chitungwiza Municipality,7,Musonza Chakanetsa,M,MDC-T,57
"",Chitungwiza Municipality,7,Kazuru Tinashe,M,MDC-T,55
"",Chitungwiza Municipality,7,Matundu Kudakwashe Daniel,M,UMD,13
"",Chitungwiza Municipality,7,Muza Arnold,M,MDC,5
"",,,,,,
"",Chitungwiza Municipality,8,Majoni Maria,F,MDC-T,"1,57"
"",Chitungwiza Municipality,8,Sangweni Nyika,M,ZANU-PF,80
"",,,,,,
"",Chitungwiza Municipality,9,Mushangwe Godwils,M,MDC-T,"1,13"
"",Chitungwiza Municipality,9,Choto W. Nancy,F,ZANU-PF,92
"",Chitungwiza Municipality,9,Majakwara Terence,M,MDC,14
"",,,,,,
"",Chitungwiza Municipality,10,Murambakutongwa Francis,M,MDC-T,"1,47"
"",Chitungwiza Municipality,10,Kavimba Ritha,F,ZANU-PF,84
"",,,,,,
"",Chitungwiza Municipality,11,Murandu Amon,M,ZANU-PF,69
"",Chitungwiza Municipality,11,Makowe Jane,F,MDC-T,66
"",Chitungwiza Municipality,11,Kanyama Brighton,M,MDC-T,51
"",Chitungwiza Municipality,11,Munangu Musevenzo,M,MDC,9
"",,,,,,
"",Chitungwiza Municipality,12,Musonza Darlingtone,M,MDC-T,"1,58"
"",Chitungwiza Municipality,12,Dzamara Pension D.,M,ZANU-PF,"1,01"
"",Chitungwiza Municipality,12,Maromo Munyaradzi Clifford,M,MDC,21
"",Chitungwiza Municipality,12,Makamba Francis,M,UMD,3
"",,,,,,
"",Chitungwiza Municipality,13,Ruzvidzo Musekiwa,M,MDC-T,"1,26"
"",Chitungwiza Municipality,13,Nyuke Ebby,M,ZANU-PF,90
Chitungwiza Municipality,13,Ndoro Sdney,M,MDC,14,
"",,,,,,
"",Chitungwiza Municipality,14,Chibvongodze Lameck,M,ZANU-PF,"1,84"
"",Chitungwiza Municipality,14,Munemo Denis,M,MDC-T,"1,78"
"",Chitungwiza Municipality,14,Dube Melusi,M,MDC,21
"",Chitungwiza Municipality,14,Kwaramba Flavious,M,UMD,3
"",,,,,,
"",Chitungwiza Municipality,15,Mashayamombe Nicholas,M,ZANU-PF,"1,66"
"",Chitungwiza Municipality,15,Chinozvina Thandiwe,F,MDC-T,"1,46"
"",Chitungwiza Municipality,15,Ncube Deron,M,MDC,21
"",,,,,,
"",Chitungwiza Municipality,16,Zemura Muchaneta,F,MDC-T,"1,11"
"",Chitungwiza Municipality,16,Chiramba Tapson,M,ZANU-PF,99
"",Chitungwiza Municipality,16,Usayiwevhu Lorraine,F,MDC-T,94
"",Chitungwiza Municipality,16,Chidano Charles,M,MDC,17
"",,,,,,
"",Chitungwiza Municipality,17,Jena Beula,F,MDC-T,"1,54"
"",Chitungwiza Municipality,17,Mutake Ellen,F,ZANU-PF,99
"",Chitungwiza Municipality,17,Rukweza David,M,MDC-T,89
"",,,,,,
"",Chitungwiza Municipality,18,Masango Kalisto,M,ZANU-PF,"1,90"
"",Chitungwiza Municipality,18,Demawatema David,M,MDC-T,"1,69"
"",Chitungwiza Municipality,18,Gondokondo Hildah,F,MDC,16
"",Chitungwiza Municipality,18,Magorokosho Taurayi,M,UMD,3
"",,,,,,
"",Chitungwiza Municipality,19,Makweza Musa,M,MDC-T,"1,80"
"",Chitungwiza Municipality,19,Ngoshi Norman,M,ZANU-PF,"1,19"
"",Chitungwiza Municipality,19,Jiri Punish Sherphed,M,INDEPENDENT,16
"",,,,,,
"",Chitungwiza Municipality,20,Katewa Phanuel,M,ZANU-PF,"1,09"
"",Chitungwiza Municipality,20,Chilimanzi Barnabas,M,MDC-T,91
"",Chitungwiza Municipality,20,Pedzisai Luka,M,INDEPENDENT,39
"",Chitungwiza Municipality,20,Chikwama Ever,M,MDC,11
"",,,,,,
"",Chitungwiza Municipality,21,Chirwa Fungai,F,MDC-T,"2,62"
"",Chitungwiza Municipality,21,Diza Maxwell,M,ZANU-PF,"1,64"
"",,,,,,
"",Chitungwiza Municipality,22,Mangoma Chido,F,MDC-T,"1,93"
"",Chitungwiza Municipality,22,Mushawatu Brezhnev,M,ZANU-PF,"1,54"
"",Chitungwiza Municipality,22,Mutenga Rosemary Mandisema,F,MDC,19
"",,,,,,
"",Chitungwiza Municipality,23,Jasoni Betty Tisungane,F,ZANU-PF,"2,54"
"",Chitungwiza Municipality,23,Katumba Miriam,F,MDC-T,"1,64"
"",Chitungwiza Municipality,23,Chiriri Wendy,F,MDC-T,"1,35"
"",Chitungwiza Municipality,23,Kayenda Abigail,F,MDC,22
"",,,,,,
"",Chitungwiza Municipality,24,Mazenge Mavis,F,MDC-T,"2,10"
"",Chitungwiza Municipality,24,Machinga Crispen,M,ZANU-PF,"1,86"
"",Chitungwiza Municipality,24,Makwara Clara M.,F,UMD,14
"",,,,,,
"",Chitungwiza Municipality,25,Mabamba Freddrick,M,ZANU-PF,"3,08"
"",Chitungwiza Municipality,25,Zengeya Tapiwa,M,MDC-T,"1,37"
"",Chitungwiza Municipality,25,Kabayadongo Hamon,M,MDC,12
"",Chitungwiza Municipality,25,Mkwesha Leonard,M,UMD,5
"",Chitungwiza Municipality,25,Musiyiwa Benjamin,M,MKD,1
"",,,,,,
"",Epworth Local Board,1,Mazhandu Erina,F,ZANU-PF,"2,54"
"",Epworth Local Board,1,Chinonyengerwa Joshua,M,MDC-T,"1,68"
"",Epworth Local Board,1,Katsamudanga Shingirai,M,MDC,23
"",,,,,,
"",Epworth Local Board,2,Chiromo Japhet,M,ZANU-PF,"3,53"
"",Epworth Local Board,2,Chinembiri Veronica,F,MDC-T,"1,25"
"",Epworth Local Board,2,Kapondoro Lameck A.,M,MDC,16
"",,,,,,
"",Epworth Local Board,3,Muhambi Elson,M,ZANU-PF,92
"",Epworth Local Board,3,July Gift,M,MDC-T,85
"",Epworth Local Board,3,Changara Shupi,F,MDC,7
"",,,,,,
"",Epworth Local Board,4,Murambidzi Tafireyi,M,ZANU-PF,"1,53"
"",Epworth Local Board,4,Bande Didymus,M,MDC-T,96
"",,,,,,
"",Epworth Local Board,5,Chaneta Eva,F,ZANU-PF,"1,71"
"",,,,,,
"",Epworth Local Board,6,Shadaya Hasimon,M,ZANU-PF,"2,26"
"",Epworth Local Board,6,Tawa Richard,M,MDC-T,"1,26"
"",Epworth Local Board,6,Kadiki Paradzai,M,MDC,27
"",,,,,,
"",Epworth Local Board,7,Muchoni Vengesai,M,ZANU-PF,"3,25"
"",Epworth Local Board,7,Damuson Damuson,M,MDC-T,"1,27"
"",Epworth Local Board,7,Chipungu Victoria,F,MDC,18
"",,,,,,
"",Harare Municipality,1,Gwenambira Rai,F,ZANU-PF,"20,18"
"",Harare Municipality,1,Chibwada Tatenda,M,MDC-T,"7,98"
"",Harare Municipality,1,Murisa Paymore,F,MDC,99
"",,,,,,
"",Harare Municipality,2,Mahachi Auxilia,F,MDC-T,"4,14"
"",Harare Municipality,2,Nyangoni Alice,F,ZANU-PF,"3,77"
"",Harare Municipality,2,Mpofu Mafosi,M,MDC,43
"",Harare Municipality,2,Machekano Simbarashe,M,MKD,20
"",Harare Municipality,2,Gwata William,M,MCD,7
"",,,,,,
"",Harare Municipality,3,Maseko Innocent,M,ZANU-PF,"7,33"
"",Harare Municipality,3,Nhira Kunaka,M,MDC-T,"5,14"
"",Harare Municipality,3,Chitototo Juliet,F,MDC,93
"",,,,,,
"",Harare Municipality,4,Matinyanya Sunungukai Martin,M,ZANU-PF,"7,76"
"",Harare Municipality,4,Hakata Grandmore,M,MDC-T,"4,95"
"",Harare Municipality,4,Mukakiwa Tineyi,M,MDC,58
"",,,,,,
"",Harare Municipality,5,Macharangwanda Paula,F,MDC-T,"2,87"
"",Harare Municipality,5,Samushonga Abraham P.,M,ZANU-PF,"1,89"
"",,,,,,
"",Harare Municipality,6,Nyatsuro Charles Joshua,M,MDC-T,"2,51"
"",Harare Municipality,6,Raisi Susan,F,ZANU-PF,"1,36"
"",Harare Municipality,6,Mhlanga Helen,F,MDC,21
"",,,,,,
"",Harare Municipality,7,Gwasira Beadle Musatye,M,ZANU-PF,"1,72"
"",Harare Municipality,7,Kapare Masiye,M,MDC-T,32
"",Harare Municipality,7,Mufambi Francis,M,MDC,4
"",,,,,,
"",Harare Municipality,8,Mbanga Christopher Lovemore,M,MDC-T,"1,59"
"",Harare Municipality,8,Gumbo Mavis,F,ZANU-PF,"1,58"
"",Harare Municipality,8,Chafa Charity Vaidah,F,MDC,26
"",,,,,,
"",Harare Municipality,9,Mutizwa Musarurwa Stewart,M,MDC-T,"6,32"
"",Harare Municipality,9,Mahwere Emmanuel,M,INDEPENDENT,12
"",,,,,,
"",Harare Municipality,10,Madzingira Hammy,M,MDC-T,"3,58"
"",Harare Municipality,10,Tichaona George,M,ZANU-PF,"1,52"
"",Harare Municipality,10,Masenda Webster,M,MDC,22
"",Harare Municipality,10,Mudede Ngonidzashe,M,HOPE,22
"",,,,,,
"",Harare Municipality,11,Shangadeya Anthony,M,MDC-T,"3,45"
"",Harare Municipality,11,Kunaka Jim,M,ZANU-PF,"2,28"
"",,,,,,
"",Harare Municipality,12,Ziwacha Misheck,M,MDC-T,"3,68"
"",Harare Municipality,12,Matsika Charles,M,ZANU-PF,"1,73"
"",,,,,,
"",Harare Municipality,13,Moyo Peter,M,MDC-T,"3,96"
"",Harare Municipality,13,Makwanya Boniface,M,ZANU-PF,"1,12"
"",Harare Municipality,13,Manguruma Biggie,M,MDC,38
"",,,,,,
"",Harare Municipality,14,Muzuva Thomas Musarurwa,M,MDC-T,"6,37"
"",Harare Municipality,14,Ngwenya Cecilia,F,ZANU-PF,"3,20"
"",Harare Municipality,14,Svosve Precious,F,MDC,46
"",,,,,,
"",Harare Municipality,15,Moyo Tranos,M,MDC-T,"8,23"
"",Harare Municipality,15,Jonga Regina,F,ZANU-PF,"3,20"
"",Harare Municipality,15,Mguni Stella,F,MDC,81
"",Harare Municipality,15,Makwiza Tazvitya Hilda,F,MKD,6
"",,,,,,
"",Harare Municipality,16,Mudavanhu Lancelot S. M.,M,MDC-T,"5,24"
"",Harare Municipality,16,Mashavave George,M,ZANU-PF,"1,87"
"",Harare Municipality,17,Manyenyeni Bernard Gabriel,M,MDC-T,"3,68"
"",Harare Municipality,17,Nyimo Doisi,M,ZANU-PF,"2,49"
"",Harare Municipality,17,Mabuwa David Tapera,M,INDEPENDENT,6
"",,,,,,
"",Harare Municipality,18,Markham Allan Norman,M,MDC-T,"2,39"
"",Harare Municipality,18,Mafirambudzi Brian,M,ZANU-PF,"1,49"
"",Harare Municipality,18,Berinado Patrick Phiri,M,MDC,33
"",,,,,,
"",Harare Municipality,19,Kufahakutizwi Munyaradzi Febio,M,MDC-T,"2,63"
"",Harare Municipality,19,Damba Charity Zvikomborere,F,ZANU-PF,"1,38"
"",Harare Municipality,19,Karima Shupikai,M,MDC,27
"",Harare Municipality,19,Ngarande Kudzanayi,M,UMD,1
"",,,,,,
"",Harare Municipality,20,Rose Joseph,M,MDC-T,"2,88"
"",Harare Municipality,20,Nyamukondiwa Munyaradzi,M,ZANU-PF,"2,55"
"",Harare Municipality,20,Musarara Richard,M,MDC,51
"",Harare Municipality,20,Maringa Claud,M,UMD,6
"",,,,,,
"",Harare Municipality,21,Ndira Barnabas,M,MDC-T,"2,89"
"",Harare Municipality,21,Chuma Susan,F,ZANU-PF,"1,90"
"",Harare Municipality,21,Mugariwa Peter,M,MDC,34
"",Harare Municipality,21,Parinya Masekereya C.,F,UMD,3
"",,,,,,
"",Harare Municipality,22,Manase Theresa,F,MDC-T,"4,32"
"",Harare Municipality,22,Mangwanya Luckmore,M,ZANU-PF,"2,27"
"",Harare Municipality,22,Gorerokufa Keith,M,MDC,39
"",,,,,,
"",Harare Municipality,23,Zibute Cephas,M,MDC-T,"4,53"
"",Harare Municipality,23,Tomu Peter,M,ZANU-PF,"1,88"
"",Harare Municipality,23,Muzarira Benard,M,MDC,54
"",,,,,,
"",Harare Municipality,24,Mbadzi Job,M,MDC-T,"3,85"
"",Harare Municipality,24,Mukuze Fanuel,M,ZANU-PF,"1,72"
"",Harare Municipality,24,Mhembere Takaedzwa,M,MDC,40
"",,,,,,
