"",,,Votes
Name of Candidate,Sex,Party,Received
Marange Rodwell,,,
Shambare,M,INDEPENDENT,550
"",,,
"",,,
Muchimwe Percy,,,17 871
Teedzai,M,ZANU PF,
"",,,
"",,,
Mudiwa Malvern,M,MDC-ALLIANCE,7 920
"",,,
"",,,
Mudiwa Shuah,M,PRC,476
"",,,
"",,,
Munjoma Thomas,M,INDEPENDENT,964
"",,,
"",,,
Muzama Tariro,M,NCA,116
"",,,
"",,,
Nhaitai Fungai,M,INDEPENDENT,130
"",,,Votes
Name of Candidate,Sex,Party,Received
"",,,
Chikuni Tapiwa Laxon,M,ZDU,297
"",,,
"",,,
Dzoma Ernest Kuziwa,M,NCA,163
"",,,
"",,,
Mapenzi Netsayi,F,MDC-T,819
"",,,
"",,,
Mukura Norman Sarayi,,,99
"",M,ZIPP,
"",,,
"",,,
Mwashita Richard,M,Independent,58
"",,,
"",,,
Sakupwanya Jefter Kuziwa,M,ZANU PF,9 621
"",,,
"",,,
Saruwaka Trevor Jones,M,MDC-Alliance,11 919
Lovelace,,,
"",,,
"",,,
Tande Confidence,F,FreeZim Congress Party,30
"",,,Votes
Name of Candidate,Sex,Party,Received
"",,,
Chideya Shepherd Tapuwa,M,ZIPP,712
"",,,
"",,,
Chimhini David Antony,M,MDC-Alliance,11635
"",,,
"",,,
Chiremba John,M,CODE,153
"",,,
"",,,
Madiwa Chido,F,ZANU PF,11913
"",,,
"",,,
Masamvu James Tawanda,M,Independent,1060
"",,,
"",,,
Mudowaya Shadreck Steven,M,MDC-T,0
Name of Candidate,Sex,Party  Votes Received
"",,
Mugadza Misheck,M,ZANU PF 12 736
"",,
"",M,FREEZIM CONGRESS
Mukarakate Anyway,,PARTY  201
"",,
"",M,
"",,ZIPP
"",,
Munyoro Learnmore,,185
"",,
"",,
Murahwa Daniel,M,
"",,PRC 168
Ngonidzaishe,,
"",,
"",,
Nyakunu Walter,M,APA 144
"",,
"",,
Sande Patrick,M,ZDU 128
"",,
"",,
Tsunga Regai,M,MDC-ALLIANCE 14 783
"",,,Votes
Name of Candidate,Sex,Party,Received
"",F,INDEPENDENT,
Chatsanga Sarudzai,,,1 967
"",,,
"",,,
Chibvura Lovemore,M,NPF,362
"",,,
"",,,
Kapomba Maxwell,M,PRC,212
"",,,
"",M,,
Kicheni Blessing Bruce,,FREEZIM CONGRESS PARTY,121
"",,,
"",,,
"",M,,
"",,MDC-ALLIANCE,
"",,,
Matoro Solomon Chenjerai,,,6 750
"",,,
"",,,
Sanyatwe Chido,F,ZANU PF,14 167
Name of Candidate,Sex,Party,Votes Received
"",,,
Kadzima Talent,F,INDEPENDENT,3 119
"",,,
Mandiwanzira Supa,,,
Collins,M,ZANU PF,
"",,,12 322
"",,,
"",,,
"",,"# 1980 CHINHU",
Mupotsa Nickson,M,CHEDU,95
"",,,
Ngonzwe Webster,M,MDC-T,1 114
"",,,
Samanyanga Tonderai,,,
Denholm,M,MDC-ALLIANCE,
"",,,7 464
